scenarioId,median_constant,median_stratified,median_linear,median_rcs_3,median_rcs_4,lower_constant,lower_stratified,lower_linear,lower_rcs_3,lower_rcs_4,upper_constant,upper_stratified,upper_linear,upper_rcs_3,upper_rcs_4
41,0.00984096017703913,0.022497977414741306,0.014189322018914131,0.01865860807494267,0.022240123116619406,0.0055511654036479495,0.009300710594123601,0.0025082935671399686,0.005745935535123113,0.008613949643051788,0.030492719018996677,0.04304310119634974,0.03322097174892463,0.037471627572205596,0.0421084959521109
42,0.011535939960945511,0.02277623674783332,0.014652666066903956,0.018919487713267034,0.022707491757824477,0.008006858703913967,0.008255419939788722,0.002866374990776215,0.00498594002650438,0.00826147646020924,0.03110910432144339,0.04433709119005173,0.03462542603474664,0.0385181568265882,0.03985548380520999
43,0.013470507783488725,0.022486961918001654,0.015034507310622995,0.019396552384987754,0.022866396148743043,0.010340349640109847,0.008696634090939744,0.003467882903983908,0.006309812990535365,0.008582652422285295,0.03366399810491261,0.043354784227024115,0.03505235501133962,0.039957474835708995,0.04397849769046089
44,0.009041776490342258,0.022131754953924096,0.014558945029869187,0.018563688049819095,0.022561787006050542,0.003122752130633315,0.008722559939896025,0.0029088114621306405,0.005392638377288718,0.008983885332079907,0.02826851481445357,0.04345158123793854,0.03463506447318637,0.03748187435981713,0.042285567711301944
45,0.013087384767706992,0.019056818951318506,0.013402793232884699,0.01628665046998213,0.01856034793112784,0.009702946889289427,0.008020058654513423,0.002316028481866319,0.00449043901603274,0.006581033226254661,0.03100441062040247,0.038852680990747304,0.03257517737095246,0.032431978334683975,0.03562564436522704
46,0.016919552830238126,0.018880397276495292,0.014548233017222661,0.015761867511799865,0.018244464438015653,0.013741003528053169,0.008132224511172667,0.005234972991838975,0.004668560446120351,0.007205910128833487,0.03513117300662545,0.04016997305895213,0.03369649900282354,0.03336173248556945,0.03507792378916418
47,0.02143902942826617,0.019422561743469267,0.016804685075467687,0.01577684901510426,0.0178225093715906,0.01828242870084574,0.008405794996188883,0.009314145067507582,0.005007561565320107,0.006650864617835487,0.03797337593182573,0.039449216566173284,0.034172452856247267,0.03411375597606846,0.03526484865679924
48,0.012376731855506645,0.019351736687945105,0.014945402136124948,0.016237989914458476,0.018308068769248696,0.00791100575542444,0.007721958731072967,0.005633198720412125,0.005169521990228248,0.006270725312754928,0.03033016416862376,0.03998559870216553,0.03439427201568253,0.03732719185604239,0.03808144155568248
49,0.018210463465596634,0.04203812474216955,0.030307644383960112,0.03636743036843913,0.042900288957269744,0.006490010173016389,0.0134976250432406,0.005394689930876787,0.009578099622267112,0.015404843893145765,0.06161754068281236,0.08049404523534517,0.06455690955603477,0.07281767721131141,0.07700811646059853
50,0.020798205122089224,0.043048256522283765,0.029549076342304324,0.03625429802831645,0.04368528196479912,0.010127940878091633,0.015179117724029773,0.007340545832992398,0.010388377050197035,0.01496636123806283,0.06602652006198502,0.08205980411027623,0.06719866278556068,0.07700537063460675,0.08068692420753795
51,0.024316401171690386,0.044548271047316,0.030561865786208724,0.03734834089092423,0.04440128493712979,0.013661181218809958,0.01706527018187476,0.00790952304797253,0.010889036798402706,0.01644789646885711,0.0644168374021046,0.07660031039374762,0.068248415450125,0.07241612644667096,0.07786258699643281
52,0.019123539494633586,0.04134887693955133,0.03125477754295161,0.03571242676043495,0.04204130777782551,0.004169746096417902,0.01347568982175422,0.006543870042346998,0.010150915668539278,0.015694689811058322,0.05979716754586431,0.07664721537265796,0.06554137750366647,0.07333673003176559,0.07735929672542304
53,0.01969184944081935,0.04753689693680785,0.03213738515006921,0.03926376340625584,0.04595507255494913,0.005600877067605356,0.0198659675765308,0.005968637716268122,0.01191850991530433,0.01976119611825755,0.058557008334225606,0.08158567896560871,0.07379023192497693,0.07889900242280337,0.08417861827866874
54,0.02062003612402029,0.046271782919640084,0.03198353460733411,0.04021947645313455,0.04704691371024042,0.008119745147930508,0.018156182135448732,0.005840831986226574,0.011670108620540206,0.01989404210408588,0.060003828702098055,0.08448755750573844,0.07393332080805178,0.08139387255561017,0.08606922897449171
55,0.021718651806624818,0.047569543338914624,0.03248608373246779,0.04057035298716101,0.04769129462018343,0.010464593670743302,0.018900499640482092,0.0076953502061753425,0.011941607609226813,0.020048256092035824,0.060534458151732265,0.08522742935035298,0.07349644962379527,0.08129076936630997,0.08758059337174978
56,0.01962415586032227,0.04714976806800296,0.03124293314936052,0.03965356720943446,0.04673805777677992,0.003305773697557002,0.019928204358605314,0.006122457820908389,0.010729446541959828,0.020072484983082978,0.0588259062959319,0.08253610131991353,0.07003792678852569,0.07823833331389368,0.08342789524274268
57,0.021347548430683094,0.037265801465677977,0.026718162856419068,0.03338342169592022,0.03955003523799792,0.009758280081030305,0.014581905644487093,0.0057908027310794325,0.010736428254444333,0.014478612735001138,0.05972538172236458,0.07895724395076803,0.06466416383454678,0.07211180926263984,0.0775808185854384
58,0.02294855807442344,0.03829310573985234,0.027731982306423566,0.03284425588559614,0.038601675967714535,0.013816086386562098,0.014911583282495523,0.0075748177406343535,0.01092424727502034,0.015532490851248405,0.06418355168162983,0.0775088494202108,0.06927791696375926,0.07156928151192514,0.07999741087409151
