scenarioId,treatment,risk,rcs_3,rcs_4,rcs_5
310,0.75,0.16,0.05,0.03,0.02
311,0.69,0.19,0.06,0.04,0.03
312,0.86,0.1,0.02,0.01,0.01
313,0.02,0.77,0.11,0.07,0.03
314,0,0.75,0.15,0.07,0.03
315,NA,0.66,0.23,0.08,0.03
316,0.09,0.66,0.16,0.06,0.03
317,0.23,0.6,0.1,0.03,0.04
318,0.14,0.67,0.11,0.03,0.04
319,0.09,0.72,0.12,0.04,0.05
320,0.41,0.45,0.07,0.03,0.03
321,NA,0.82,0.1,0.05,0.03
322,NA,0.63,0.25,0.09,0.03
323,NA,0.3,0.5,0.14,0.05
324,0,0.57,0.27,0.1,0.05
325,0.89,0.05,0.03,0.01,0.02
326,0.83,0.09,0.03,0.02,0.03
327,0.71,0.16,0.05,0.04,0.03
328,0.92,0.02,0.03,0.01,0.01
329,0.91,0.04,0.01,0.02,0.02
330,0.89,0.06,0.02,0.02,0.02
331,0.86,0.08,0.02,0.02,0.01
332,0.95,0.02,0,0.01,0.02
333,0.71,0.17,0.06,0.03,0.03
334,0.49,0.36,0.07,0.05,0.04
335,0.32,0.44,0.12,0.09,0.04
336,0.74,0.07,0.12,0.04,0.03
337,0.94,0.03,0.02,0.01,0.01
338,0.92,0.04,0.02,0.01,0
339,0.9,0.05,0.02,0.02,0
340,0.95,0.01,0.02,0.02,0
341,0.94,0.02,0.02,0.01,0.01
342,0.94,0.02,0.02,0.01,0
343,0.93,0.03,0.02,0.01,0.01
344,0.95,0.01,0.02,0.01,0.01
345,0.93,0.03,0.01,0.01,0.01
346,0.89,0.05,0.01,0.02,0.02
347,0.84,0.08,0.03,0.03,0.01
348,0.94,0.02,0.02,0.01,0.01
349,0.59,0.26,0.08,0.04,0.02
350,0.3,0.53,0.09,0.05,0.02
351,0.1,0.62,0.17,0.08,0.04
352,0.72,0.08,0.15,0.03,0.02
353,0.76,0.16,0.04,0.01,0.03
354,0.6,0.29,0.05,0.02,0.03
355,0.41,0.43,0.09,0.02,0.04
356,0.86,0.06,0.04,0.01,0.02
357,0.07,0.55,0.25,0.09,0.05
358,0,0.77,0.09,0.1,0.04
359,NA,0.46,0.25,0.22,0.07
360,0.11,0.06,0.57,0.16,0.1
361,0.02,0.63,0.23,0.07,0.05
362,0.01,0.68,0.19,0.07,0.05
363,0,0.72,0.16,0.07,0.04
364,0.03,0.54,0.28,0.09,0.06
365,0.27,0.55,0.1,0.06,0.03
366,0.22,0.61,0.09,0.05,0.03
367,0.19,0.65,0.09,0.05,0.02
368,0.32,0.5,0.09,0.06,0.03
369,NA,0.09,0.65,0.17,0.09
370,NA,0.2,0.53,0.19,0.08
371,NA,0.27,0.46,0.19,0.08
372,NA,0.04,0.75,0.12,0.09
373,0.59,0.28,0.08,0.03,0.02
374,0.54,0.32,0.09,0.04,0.02
375,0.5,0.36,0.1,0.03,0.02
376,0.63,0.23,0.08,0.03,0.02
377,0.77,0.13,0.06,0.03,0.01
378,0.76,0.14,0.06,0.02,0.02
379,0.75,0.13,0.06,0.03,0.03
380,0.8,0.11,0.05,0.03,0.01
381,0.1,0.42,0.34,0.09,0.06
382,0.07,0.51,0.28,0.09,0.06
383,0.05,0.56,0.25,0.08,0.05
384,0.1,0.37,0.37,0.1,0.05
385,NA,0.31,0.52,0.11,0.06
386,NA,0.41,0.43,0.11,0.05
387,NA,0.5,0.34,0.1,0.05
388,NA,0.15,0.66,0.12,0.07
389,0,0.72,0.19,0.06,0.03
390,0,0.74,0.16,0.06,0.04
391,NA,0.76,0.14,0.06,0.04
392,0,0.69,0.2,0.06,0.05
393,NA,NA,0.49,0.29,0.21
394,NA,NA,0.42,0.39,0.19
395,NA,0,0.31,0.52,0.16
396,NA,NA,0.52,0.16,0.33
397,0.14,0.4,0.32,0.08,0.06
398,0.22,0.17,0.46,0.08,0.06
399,0.23,0.07,0.53,0.09,0.08
400,0.07,0.67,0.15,0.08,0.03
401,0.27,0.52,0.14,0.03,0.04
402,0.38,0.39,0.14,0.04,0.04
403,0.47,0.27,0.16,0.05,0.04
404,0.18,0.63,0.12,0.04,0.04
405,0.25,0.21,0.37,0.11,0.06
406,0.21,0.04,0.54,0.14,0.07
407,0.09,0,0.7,0.13,0.08
408,0.19,0.58,0.09,0.1,0.04
409,0.72,0.17,0.07,0.03,0.01
410,0.75,0.11,0.09,0.04,0.01
411,0.78,0.07,0.1,0.03,0.01
412,0.64,0.26,0.05,0.03,0.02
413,0.8,0.14,0.04,0.02,0.01
414,0.81,0.11,0.04,0.02,0.01
415,0.83,0.1,0.04,0.01,0.01
416,0.75,0.18,0.04,0.02,0.01
417,0.79,0.09,0.06,0.04,0.02
418,0.76,0.05,0.12,0.04,0.03
419,0.67,0.02,0.2,0.07,0.05
420,0.78,0.13,0.05,0.03,0.01
421,NA,0.09,0.66,0.17,0.08
422,NA,0.01,0.72,0.14,0.12
423,NA,NA,0.73,0.14,0.13
424,NA,0.42,0.36,0.18,0.04
425,NA,0.52,0.37,0.07,0.05
426,NA,0.36,0.48,0.11,0.05
427,0.01,0.22,0.6,0.1,0.08
428,NA,0.7,0.18,0.07,0.04
429,NA,0.01,0.68,0.2,0.11
430,NA,NA,0.66,0.18,0.16
431,NA,NA,0.6,0.22,0.18
432,NA,0.45,0.24,0.24,0.07
433,0.95,0.01,0.02,0.01,0.01
434,0.71,0.07,0.14,0.04,0.03
435,0.29,0.2,0.38,0.07,0.06
436,0.51,0.1,0.25,0.09,0.05
437,0.97,0.01,0.01,0.01,0.01
438,0.9,0.05,0.02,0.02,0.02
439,0.74,0.14,0.06,0.03,0.03
440,0.85,0.08,0.04,0.02,0.02
441,0.95,0.01,0.01,0.02,0.01
442,0.34,0.04,0.45,0.11,0.06
443,0.02,0.02,0.76,0.15,0.06
444,0.4,0.08,0.39,0.1,0.03
445,0.96,0.01,0.02,0.01,0
446,0.91,0.03,0.03,0.01,0.01
447,0.8,0.08,0.08,0.03,0.01
448,0.9,0.03,0.05,0.02,0.01
449,0.96,0.01,0.02,0.01,0
450,0.96,0.02,0.01,0.01,0
451,0.9,0.05,0.02,0.02,0.01
452,0.93,0.02,0.03,0.01,0.01
453,0.98,0.01,0,0.01,0
454,0.81,0.04,0.09,0.04,0.02
455,0.52,0.08,0.3,0.07,0.04
456,0.97,0.01,0.01,0.01,NA
457,0.95,0.02,0.01,0.02,0
458,0.15,0.18,0.48,0.13,0.06
459,0,0.03,0.75,0.14,0.08
460,0,0,0.46,0.34,0.2
461,0.97,0.01,0.01,0,0.01
462,0.7,0.18,0.08,0.02,0.02
463,0.18,0.43,0.27,0.06,0.06
464,0.41,0.25,0.24,0.07,0.03
465,0.95,0.02,0.01,0.01,0
466,0,NA,0.65,0.27,0.08
467,NA,NA,0.72,0.19,0.08
468,NA,NA,0.54,0.33,0.13
469,0.94,0.01,0.02,0.02,0.01
470,0.59,0.16,0.16,0.06,0.03
471,0.2,0.29,0.36,0.09,0.06
472,0.72,0.06,0.15,0.04,0.02
473,0.96,0.01,0.01,0.01,0.01
474,0.85,0.09,0.03,0.02,0.02
475,0.66,0.2,0.07,0.04,0.03
476,0.91,0.02,0.04,0.01,0.01
477,0.92,0.03,0.02,0.02,0.01
478,0.21,0.16,0.45,0.12,0.06
479,0.01,0.06,0.72,0.14,0.06
480,0.62,0.03,0.26,0.07,0.02
481,0.96,0.01,0.02,NA,0.01
482,0.88,0.06,0.04,0.01,0.01
483,0.76,0.12,0.08,0.03,0.02
484,0.92,0.03,0.02,0.01,0.01
485,0.95,0.02,0.02,0.01,0
486,0.93,0.03,0.02,0.01,0.01
487,0.89,0.06,0.02,0.02,0.01
488,0.94,0.02,0.02,0.01,0.01
489,0.96,0.02,0.01,0.01,0
490,0.78,0.08,0.09,0.04,0.02
491,0.48,0.12,0.27,0.08,0.04
492,0.93,0.03,0.03,0.01,NA
493,0.87,0.09,0.02,0.02,0.01
494,0.04,0.31,0.49,0.11,0.05
495,NA,0.05,0.75,0.13,0.07
496,0.04,0,0.48,0.32,0.17
497,0.93,0.04,0.01,0.01,0.01
498,0.41,0.4,0.13,0.04,0.03
499,0.08,0.57,0.25,0.06,0.05
500,0.7,0.09,0.14,0.04,0.03
501,0.68,0.24,0.03,0.03,0.02
