scenario,base,type,sampleSize,auc,harm,b0,b1,b2,b3,b4,b5,b6,b7,b8,g0,g1,g2,c,averageTrueBenefit,averageObservedBenefit
12,absent,constant,4250,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0,1,0,0,0,0.01
13,absent,constant,1063,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0,1,0,0,0,0
14,absent,constant,1063,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0,1,0,0,0,-0.01
15,absent,constant,1063,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0,1,0,0,0,-0.02
16,absent,constant,1063,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0,1,0,0,0,0.01
17,absent,constant,1063,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0,1,0,0,0,0
18,absent,constant,1063,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0,1,0,0,0,-0.01
19,absent,constant,1063,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0,1,0,0,0,-0.02
20,absent,constant,1063,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0,1,0,0,0,0.01
21,absent,constant,1063,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0,1,0,0,0,0
22,absent,constant,1063,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0,1,0,0,0,-0.01
23,absent,constant,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0,1,0,0,0,-0.02
24,absent,constant,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0,1,0,0,0,0.01
25,absent,constant,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0,1,0,0,0,0
26,absent,constant,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0,1,0,0,0,-0.01
27,absent,constant,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0,1,0,0,0,-0.02
28,absent,constant,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0,1,0,0,0,0.01
29,absent,constant,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0,1,0,0,0,0
30,absent,constant,17000,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0,1,0,0,0,-0.01
31,absent,constant,17000,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0,1,0,0,0,-0.02
32,absent,constant,17000,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0,1,0,0,0,0.01
33,absent,constant,17000,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0,1,0,0,0,0
34,absent,constant,17000,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0,1,0,0,0,-0.01
35,absent,constant,17000,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0,1,0,0,0,-0.02
36,absent,constant,17000,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0,1,0,0,0,0.01
37,absent,linear-moderate,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.06,0.9472527,0,0,0,0
38,absent,linear-moderate,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.06,0.9472527,0,0,0,-0.01
39,absent,linear-moderate,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.06,0.9472527,0,0,0,-0.02
40,absent,linear-moderate,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.06,0.9472527,0,0,0,0.01
41,absent,linear-moderate,4250,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0,0
42,absent,linear-moderate,4250,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0,-0.01
43,absent,linear-moderate,4250,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0,-0.02
44,absent,linear-moderate,4250,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0,0.01
45,absent,linear-moderate,4250,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.07,0.9296703,0,0,0,0
46,absent,linear-moderate,4250,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.07,0.9296703,0,0,0,-0.01
47,absent,linear-moderate,4250,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.07,0.9296703,0,0,0,-0.02
48,absent,linear-moderate,4250,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.07,0.9296703,0,0,0,0.01
49,absent,linear-moderate,1063,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.06,0.9472527,0,0,0,0
50,absent,linear-moderate,1063,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.06,0.9472527,0,0,0,-0.01
51,absent,linear-moderate,1063,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.06,0.9472527,0,0,0,-0.02
52,absent,linear-moderate,1063,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.06,0.9472527,0,0,0,0.01
53,absent,linear-moderate,1063,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0,0
54,absent,linear-moderate,1063,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0,-0.01
55,absent,linear-moderate,1063,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0,-0.02
56,absent,linear-moderate,1063,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0,0.01
57,absent,linear-moderate,1063,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.07,0.9296703,0,0,0,0
58,absent,linear-moderate,1063,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.07,0.9296703,0,0,0,-0.01
59,absent,linear-moderate,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.07,0.9296703,0,0,0,-0.02
60,absent,linear-moderate,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.07,0.9296703,0,0,0,0.01
61,absent,linear-moderate,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.06,0.9472527,0,0,0,0
62,absent,linear-moderate,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.06,0.9472527,0,0,0,-0.01
63,absent,linear-moderate,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.06,0.9472527,0,0,0,-0.02
64,absent,linear-moderate,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.06,0.9472527,0,0,0,0.01
65,absent,linear-moderate,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0,0
66,absent,linear-moderate,17000,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0,-0.01
67,absent,linear-moderate,17000,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0,-0.02
68,absent,linear-moderate,17000,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.08,0.9340659,0,0,0,0.01
69,absent,linear-moderate,17000,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.07,0.9296703,0,0,0,0
70,absent,linear-moderate,17000,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.07,0.9296703,0,0,0,-0.01
71,absent,linear-moderate,17000,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.07,0.9296703,0,0,0,-0.02
72,absent,linear-moderate,17000,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.07,0.9296703,0,0,0,0.01
73,absent,linear-high,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.25,0.7956044,0,0,0,0
74,absent,linear-high,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.25,0.7956044,0,0,0,-0.01
75,absent,linear-high,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.25,0.7956044,0,0,0,-0.02
76,absent,linear-high,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.25,0.7956044,0,0,0,0.01
77,absent,linear-high,4250,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.29,0.7758242,0,0,0,0
78,absent,linear-high,4250,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.29,0.7758242,0,0,0,-0.01
79,absent,linear-high,4250,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.29,0.7758242,0,0,0,-0.02
80,absent,linear-high,4250,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.29,0.7758242,0,0,0,0.01
81,absent,linear-high,4250,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.22,0.7846154,0,0,0,0
82,absent,linear-high,4250,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.22,0.7846154,0,0,0,-0.01
83,absent,linear-high,4250,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.22,0.7846154,0,0,0,-0.02
84,absent,linear-high,4250,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.22,0.7846154,0,0,0,0.01
85,absent,linear-high,1063,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.25,0.7956044,0,0,0,0
86,absent,linear-high,1063,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.25,0.7956044,0,0,0,-0.01
87,absent,linear-high,1063,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.25,0.7956044,0,0,0,-0.02
88,absent,linear-high,1063,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.25,0.7956044,0,0,0,0.01
89,absent,linear-high,1063,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.29,0.7758242,0,0,0,0
90,absent,linear-high,1063,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.29,0.7758242,0,0,0,-0.01
91,absent,linear-high,1063,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.29,0.7758242,0,0,0,-0.02
92,absent,linear-high,1063,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.29,0.7758242,0,0,0,0.01
93,absent,linear-high,1063,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.22,0.7846154,0,0,0,0
94,absent,linear-high,1063,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.22,0.7846154,0,0,0,-0.01
95,absent,linear-high,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.22,0.7846154,0,0,0,-0.02
96,absent,linear-high,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.22,0.7846154,0,0,0,0.01
97,absent,linear-high,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.25,0.7956044,0,0,0,0
98,absent,linear-high,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.25,0.7956044,0,0,0,-0.01
99,absent,linear-high,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.25,0.7956044,0,0,0,-0.02
100,absent,linear-high,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.25,0.7956044,0,0,0,0.01
101,absent,linear-high,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.29,0.7758242,0,0,0,0
102,absent,linear-high,17000,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.29,0.7758242,0,0,0,-0.01
103,absent,linear-high,17000,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.29,0.7758242,0,0,0,-0.02
104,absent,linear-high,17000,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.29,0.7758242,0,0,0,0.01
105,absent,linear-high,17000,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.22,0.7846154,0,0,0,0
106,absent,linear-high,17000,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.22,0.7846154,0,0,0,-0.01
107,absent,linear-high,17000,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.22,0.7846154,0,0,0,-0.02
108,absent,linear-high,17000,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.22,0.7846154,0,0,0,0.01
109,absent,quadratic-moderate,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0,0
110,absent,quadratic-moderate,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0,-0.01
111,absent,quadratic-moderate,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0,-0.02
112,absent,quadratic-moderate,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0,0.01
113,absent,quadratic-moderate,4250,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0,0
114,absent,quadratic-moderate,4250,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0,-0.01
115,absent,quadratic-moderate,4250,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0,-0.02
116,absent,quadratic-moderate,4250,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0,0.01
117,absent,quadratic-moderate,4250,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0,0
118,absent,quadratic-moderate,4250,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0,-0.01
119,absent,quadratic-moderate,4250,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0,-0.02
120,absent,quadratic-moderate,4250,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0,0.01
121,absent,quadratic-moderate,1063,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0,0
122,absent,quadratic-moderate,1063,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0,-0.01
123,absent,quadratic-moderate,1063,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0,-0.02
124,absent,quadratic-moderate,1063,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0,0.01
125,absent,quadratic-moderate,1063,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0,0
126,absent,quadratic-moderate,1063,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0,-0.01
127,absent,quadratic-moderate,1063,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0,-0.02
128,absent,quadratic-moderate,1063,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0,0.01
129,absent,quadratic-moderate,1063,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0,0
130,absent,quadratic-moderate,1063,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0,-0.01
131,absent,quadratic-moderate,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0,-0.02
132,absent,quadratic-moderate,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0,0.01
133,absent,quadratic-moderate,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0,0
134,absent,quadratic-moderate,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0,-0.01
135,absent,quadratic-moderate,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0,-0.02
136,absent,quadratic-moderate,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0,0.01
137,absent,quadratic-moderate,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0,0
138,absent,quadratic-moderate,17000,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0,-0.01
139,absent,quadratic-moderate,17000,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0,-0.02
140,absent,quadratic-moderate,17000,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0,0.01
141,absent,quadratic-moderate,17000,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0,0
142,absent,quadratic-moderate,17000,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0,-0.01
143,absent,quadratic-moderate,17000,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0,-0.02
144,absent,quadratic-moderate,17000,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0,0.01
145,absent,quadratic-high,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.22,1,-0.05168458,-5,0,0
146,absent,quadratic-high,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.22,1,-0.05168458,-5,0,-0.01
147,absent,quadratic-high,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.22,1,-0.05168458,-5,0,-0.02
148,absent,quadratic-high,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.22,1,-0.05168458,-5,0,0.01
149,absent,quadratic-high,4250,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.16,1,-0.05941311,-5,0,0
150,absent,quadratic-high,4250,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.16,1,-0.05941311,-5,0,-0.01
151,absent,quadratic-high,4250,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.16,1,-0.05941311,-5,0,-0.02
152,absent,quadratic-high,4250,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.16,1,-0.05941311,-5,0,0.01
153,absent,quadratic-high,4250,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-3.95,1,-0.05941311,-5,0,0
154,absent,quadratic-high,4250,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-3.95,1,-0.05941311,-5,0,-0.01
155,absent,quadratic-high,4250,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-3.95,1,-0.05941311,-5,0,-0.02
156,absent,quadratic-high,4250,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-3.95,1,-0.05941311,-5,0,0.01
157,absent,quadratic-high,1063,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.22,1,-0.05168458,-5,0,0
158,absent,quadratic-high,1063,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.22,1,-0.05168458,-5,0,-0.01
159,absent,quadratic-high,1063,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.22,1,-0.05168458,-5,0,-0.02
160,absent,quadratic-high,1063,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.22,1,-0.05168458,-5,0,0.01
161,absent,quadratic-high,1063,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.16,1,-0.05941311,-5,0,0
162,absent,quadratic-high,1063,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.16,1,-0.05941311,-5,0,-0.01
163,absent,quadratic-high,1063,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.16,1,-0.05941311,-5,0,-0.02
164,absent,quadratic-high,1063,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.16,1,-0.05941311,-5,0,0.01
165,absent,quadratic-high,1063,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-3.95,1,-0.05941311,-5,0,0
166,absent,quadratic-high,1063,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-3.95,1,-0.05941311,-5,0,-0.01
167,absent,quadratic-high,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-3.95,1,-0.05941311,-5,0,-0.02
168,absent,quadratic-high,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-3.95,1,-0.05941311,-5,0,0.01
169,absent,quadratic-high,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.22,1,-0.05168458,-5,0,0
170,absent,quadratic-high,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.22,1,-0.05168458,-5,0,-0.01
171,absent,quadratic-high,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.22,1,-0.05168458,-5,0,-0.02
172,absent,quadratic-high,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.22,1,-0.05168458,-5,0,0.01
173,absent,quadratic-high,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.16,1,-0.05941311,-5,0,0
174,absent,quadratic-high,17000,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.16,1,-0.05941311,-5,0,-0.01
175,absent,quadratic-high,17000,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.16,1,-0.05941311,-5,0,-0.02
176,absent,quadratic-high,17000,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.16,1,-0.05941311,-5,0,0.01
177,absent,quadratic-high,17000,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-3.95,1,-0.05941311,-5,0,0
178,absent,quadratic-high,17000,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-3.95,1,-0.05941311,-5,0,-0.01
179,absent,quadratic-high,17000,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-3.95,1,-0.05941311,-5,0,-0.02
180,absent,quadratic-high,17000,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-3.95,1,-0.05941311,-5,0,0.01
181,absent,non-monotonic,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,2.49,4.21,0.54,0,0,0
182,absent,non-monotonic,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,2.49,4.21,0.54,0,0,-0.01
