scenario,base,type,sampleSize,auc,harm,b0,b1,b2,b3,b4,b5,b6,b7,b8,g0,g1,g2,c,averageTrueBenefit,averageObservedBenefit
380,moderate,quadratic-high,1063,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.38,1,-0.05941311,-5,0.033,0.04125
381,moderate,quadratic-high,1063,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.13,1,-0.05941311,-5,0.024,0.024
382,moderate,quadratic-high,1063,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.13,1,-0.05941311,-5,0.024,0.018000000000000002
383,moderate,quadratic-high,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.13,1,-0.05941311,-5,0.024,0.012
384,moderate,quadratic-high,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.13,1,-0.05941311,-5,0.024,0.03
385,moderate,quadratic-high,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.42,1,-0.05168458,-5,0.029,0.029
386,moderate,quadratic-high,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.42,1,-0.05168458,-5,0.029,0.021750000000000002
387,moderate,quadratic-high,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.42,1,-0.05168458,-5,0.029,0.0145
388,moderate,quadratic-high,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.42,1,-0.05168458,-5,0.029,0.036250000000000004
389,moderate,quadratic-high,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.38,1,-0.05941311,-5,0.033,0.033
390,moderate,quadratic-high,17000,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.38,1,-0.05941311,-5,0.033,0.02475
391,moderate,quadratic-high,17000,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.38,1,-0.05941311,-5,0.033,0.0165
392,moderate,quadratic-high,17000,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.38,1,-0.05941311,-5,0.033,0.04125
393,moderate,quadratic-high,17000,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.13,1,-0.05941311,-5,0.024,0.024
394,moderate,quadratic-high,17000,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.13,1,-0.05941311,-5,0.024,0.018000000000000002
395,moderate,quadratic-high,17000,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.13,1,-0.05941311,-5,0.024,0.012
396,moderate,quadratic-high,17000,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.13,1,-0.05941311,-5,0.024,0.03
397,moderate,non-monotonic,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.1734843,1.560407,0.105142,0,0.029,0.029
398,moderate,non-monotonic,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.1734843,1.560407,0.105142,0,0.029,0.021750000000000002
399,moderate,non-monotonic,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.1734843,1.560407,0.105142,0,0.029,0.0145
400,moderate,non-monotonic,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.1734843,1.560407,0.105142,0,0.029,0.036250000000000004
401,moderate,non-monotonic,4250,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.4805806,1.78266,0.1373087,0,0.033,0.033
402,moderate,non-monotonic,4250,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.4805806,1.78266,0.1373087,0,0.033,0.02475
